,CountryName,Alumni,Code,Country,Continent,CODE,Geolocate,Latitude,Longitude
0,Pakistan,3392,"('PK', 'AS')",PK,AS,PAK,پاکستان,30.3308401,71.247499
1,Australia,379,"('AU', 'OC')",AU,OC,AUS,Australia,-24.7761086,134.755
2,Canada,175,"('CA', 'NA')",CA,NA,CAN,Canada,61.0666922,-107.991707
3,United Kingdom,135,"('GB', 'EU')",GB,EU,GBR,United Kingdom,54.7023545,-3.2765753
4,Germany,127,"('DE', 'EU')",DE,EU,DEU,Deutschland,51.0834196,10.4234469
5,United States,109,"('US', 'NA')",US,NA,USA,United States,39.7837304,-100.445882
6,United Arab Emirates,88,"('AE', 'AS')",AE,AS,ARE,الإمارات العربية المتحدة,24.0002488,53.9994829
7,Saudi Arabia,45,"('SA', 'AS')",SA,AS,SAU,السعودية,25.6242618,42.3528328
8,Sweden,28,"('SE', 'EU')",SE,EU,SWE,Sverige,59.6749712,14.5208584
9,Malaysia,19,"('MY', 'AS')",MY,AS,MYS,Malaysia,4.5693754,102.2656823
10,Netherlands,18,"('NL', 'EU')",NL,EU,NLD,Nederland,52.2288689,5.3214503
11,Norway,15,"('NO', 'EU')",NO,EU,NOR,Norge,60.5000209,9.0999715
12,Denmark,13,"('DK', 'EU')",DK,EU,DNK,Danmark,55.670249,10.3333283
13,Finland,13,"('FI', 'EU')",FI,EU,FIN,Suomi / Finland,63.2467777,25.9209164
14,New Zealand,12,"('NZ', 'OC')",NZ,OC,NZL,New Zealand / Aotearoa,-41.5000831,172.8344077
15,Qatar,12,"('QA', 'AS')",QA,AS,QAT,قطر,25.3336984,51.2295295
16,Turkey,10,"('TR', 'AS')",TR,AS,TUR,Türkiye,38.9597594,34.9249653
17,Singapore,9,"('SG', 'AS')",SG,AS,SGP,Singapore,1.357107,103.8194992
18,Italy,9,"('IT', 'EU')",IT,EU,ITA,Italia,42.6384261,12.674297
19,France,8,"('FR', 'EU')",FR,EU,FRA,France,46.603354,1.8883335
20,Bahrain,8,"('BH', 'AS')",BH,AS,BHR,البحرين,26.1551249,50.5344606
21,Switzerland,7,"('CH', 'EU')",CH,EU,CHE,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
22,Kuwait,6,"('KW', 'AS')",KW,AS,KWT,الكويت,29.2733964,47.4979476
23,Estonia,6,"('EE', 'EU')",EE,EU,EST,Eesti,58.7523778,25.3319078
24,Belgium,5,"('BE', 'EU')",BE,EU,BEL,België / Belgique / Belgien,50.6402809,4.6667145
25,China,5,"('CN', 'AS')",CN,AS,CHN,中国,35.000074,104.999927
26,Thailand,3,"('TH', 'AS')",TH,AS,THA,ประเทศไทย,14.8971921,100.83273
27,Oman,3,"('OM', 'AS')",OM,AS,OMN,عمان,21.0000287,57.0036901
28,Poland,3,"('PL', 'EU')",PL,EU,POL,Polska,52.215933,19.134422
29,Hungary,3,"('HU', 'EU')",HU,EU,HUN,Magyarország,47.1817585,19.5060937
30,Spain,3,"('ES', 'EU')",ES,EU,ESP,España,39.3260685,-4.8379791
31,Japan,2,"('JP', 'AS')",JP,AS,JPN,日本,36.5748441,139.2394179
32,Portugal,2,"('PT', 'EU')",PT,EU,PRT,Portugal,40.0332629,-7.8896263
33,Mauritius,2,"('MU', 'AF')",MU,AF,MUS,Mauritius,-20.2759451,57.5703566
34,India,2,"('IN', 'AS')",IN,AS,IND,India,22.3511148,78.6677428
35,Chile,2,"('CL', 'SA')",CL,SA,CHL,Chile,-31.7613365,-71.3187697
36,Cuba,2,"('CU', 'NA')",CU,NA,CUB,Cuba,23.0131338,-80.8328748
37,Iran,2,None,None,None,None,ایران,32.6475314,54.5643516
38,Luxembourg,2,"('LU', 'EU')",LU,EU,LUX,Lëtzebuerg,49.8158683,6.1296751
39,Cyprus,2,"('CY', 'AS')",CY,AS,CYP,Κύπρος - Kıbrıs,34.9823018,33.1451285
40,Indonesia,2,"('ID', 'AS')",ID,AS,IDN,Indonesia,-2.4833826,117.8902853
41,Sri Lanka,1,"('LK', 'AS')",LK,AS,LKA,ශ්‍රී ලංකාව இலங்கை,7.5554942,80.7137847
42,Serbia,1,"('RS', 'EU')",RS,EU,SRB,Србија,44.1534121,20.55144
43,Mali,1,"('ML', 'AF')",ML,AF,MLI,Mali,16.3700359,-2.2900239
44,Egypt,1,"('EG', 'AF')",EG,AF,EGY,مصر,26.2540493,29.2675469
45,Morocco,1,"('MA', 'AF')",MA,AF,MAR,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
46,Bahamas,1,"('BS', 'NA')",BS,NA,BHS,The Bahamas,24.7736546,-78.0000547
47,South Africa,1,"('ZA', 'AF')",ZA,AF,ZAF,South Africa,-28.8166236,24.991639
48,Georgia,1,"('GE', 'AS')",GE,AS,GEO,"Georgia, United States",32.3293809,-83.1137366
49,Brazil,1,"('BR', 'SA')",BR,SA,BRA,Brasil,-10.3333333,-53.2
50,Taiwan,1,None,None,None,None,臺灣,23.9739374,120.9820179
51,Czech Republic,1,None,None,None,None,Česko,49.8167003,15.4749544
52,Philippines,1,"('PH', 'AS')",PH,AS,PHL,Philippines,12.7503486,122.7312101
53,Myanmar,1,"('MM', 'AS')",MM,AS,MMR,မြန်မာ,17.1750495,95.9999652
54,Suriname,1,"('SR', 'SA')",SR,SA,SUR,Suriname,4.1413025,-56.0771187
55,Austria,1,"('AT', 'EU')",AT,EU,AUT,Österreich,47.59397,14.12456
